Paper ID	PaperTitle	AuthorNames
634	Bayesian Strategy-Proof Facility Location via Robust Estimation	"Zampetakis, Emmanouil; Zhang, Fred*"
635	Unsupervised representation learning with recognition-parametrised probabilistic models	"Walker, William I; Soulat, Hugo; Yu, Changmin; Sahani, Maneesh*"
638	Universal Agent Mixtures and the Geometry of Intelligence	"Alexander, Samuel A*; Quarel, David; Du, Len; Hutter, Marcus"
639	The communication cost of security and privacy in federated frequency estimation	"Chen, Wei-Ning*; Ozgur, Ayfer; Cormode, Graham; Bharadwaj, Akash"
644	Learning While Scheduling in Multi-Server Systems With Unknown Statistics: MaxWeight with Discounted UCB	"Yang, Zixian*; Srikant, R; Ying, Lei"
653	Piecewise Stationary Bandits under Risk Criteria	"Bhatt, Sujay; Fang, Guanhua*; Li, Ping"
654	Does Label Differential Privacy Prevent Label Inference Attacks?	"Wu, Ruihan*; Zhou, Jin Peng; Weinberger, Kilian; Guo, Chuan"
656	Understanding Multimodal Contrastive Learning and Incorporating Unpaired Data	"Nakada, Ryumei*; Gulluk, Halil  Ibrahim; Deng, Zhun; Ji, Wenlong; Zou, James; Zhang, Linjun"
665	Conjugate Gradient Method for Generative Adversarial Networks	"Naganuma, Hiroki*; Iiduka, Hideaki"
669	Subset verification and search algorithms for causal DAGs	"Choo, Davin*; Shiragur, Kirankumar"
686	Distributed Offline Policy Optimization Over Batch Data	"Shen,  Han *; Lu, Songtao; Cui, Xiaodong; Chen, Tianyi"
706	Decoupling Demographic Groups from Their Social Bias:\\An Approach for Fairness in Text Generation	"Wang, Rui*; Cheng, Pengyu; Henao, Ricardo"
716	Learning Sparse Graphon Mean Field Games	"Fabian, Christian*; Cui, Kai; Koeppl, Heinz"
719	Temporal Graph Neural Networks for Irregular Data	"Oskarsson, Joel*; Sidén, Per; Lindsten, Fredrik"
724	Oblivious near-optimal sampling for multidimensional signals with Fourier constraints	"Xu, Xingyu*; Gu, Yuantao"
725	Gaussian Processes on Finite Spaces of Graphs	"Borovitskiy, Viacheslav*; Karimi, Mohammad Reza; Somnath, Vignesh Ram; Krause, Andreas"
734	A Tale of Sampling and Estimation in Discounted Reinforcement Learning	"Metelli, Alberto Maria*; Mutti, Mirco; Restelli, Marcello"
745	Mean Parity Fair Regression in RKHS	"Wei, Shaokui; Liu, Jiayin; Li, Bing; Zha, Hongyuan*"
747	A Unified Perspective on Regularization and Perturbation in Differentiable Subset Selection	"SUN, Xiangqian; Leung, Cheuk Hang; Li, Yijun; Wu, Qi*"
750	Nystrom Method for Accurate and Scalable Implicit Differentiation	"Hataya, Ryuichiro*; Yamada, Makoto"
